,post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
64,64,lost!,another like me and mark hi there I push to stop from hurting my partner if you read the posts between mark and myself in marks posts you may feel like you can find understanding in the strangest of places there is always a friend around even if it is a stranger sometimes they make the best of friends such as Mark he has been such a life line and always here with a note of encouragement waiting for me when i need it that is something you don't get from meeting people outside as they don't get to understand you as you don't let your random thoughts out so they are unsure of your frame of mind.you think it is easier to push your husband away to test him but why not see if it isn't just being with him that you are scared of it is such a good feeling to get that reassurance you need with a cuddle a snuggle up on a cold night with a cup of hot chocolate and funny film watching the snow fall threw the frosted up windows Christmas magic let it in and you will feel it help bring memories back your husband loves you he isn't going antwhere 20 years is a long time ti push and he is still there with you waiting patiently for the good days that you are the woman he feel in love with the 1 that in he's eyes is the love of he's life or would have gone you have to accept that before you push yourself he loves you not for you to question why just accept as i do with my partner and realise that no matter what your faults he see's past them as you are he's life! as we believe that our partners live with our illness it is just a fault in our brains our partners have their own faults in their eyes that we do not see because above all we love them no matter what as they love us.please remember that next time you see snow fall on a night and put the kettle on,0.0,0.0,0.573003,0.0,0.747556,0.0,0.707576
65,65,madmark,well said NOW YOU REMEMBER THAT AS ONCE AGAIN YOU HAVE AWNSERED YOUR OWN QUESTIONS X,0.0,0.0,0.0,0.0,0.868982,0.0,0.0
66,66,madmark,2 songs that say it all http://www.youtube.com/watch?v=BQaM5KhndhI and http://www.youtube.com/watch?v=qrpBn43A2Ak just listern carefully to the words hope you enjoy,0.0,0.0,0.780615,0.0,0.0,0.0,0.615352
67,67,madmark,well here we go 9 days to christmas will enjoy the time off work but will find things to keep me busy or i will get down but yes i am looking faward to a nice break with the family hope everyone is ok and in good health merry christmas to you all,0.0,0.0,0.859897,0.0,0.0,0.0,0.0
68,68,lost!,"Hi mark and every1,hope all ok, that thread here just at the right time again mark having a bit of a tough day but battling threw as always,so why my partner has gone to take my boys to their sperm donors and there is only me and 2 kids in the house that i would have a bob on here leave a post or 2 see if i can't answer my own questions again lol.And stop reminding me how close christmas is i haven't bought a thing yet!",0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,madmark,cheer up you dont need to buy anything for xmas its abiut being together thats all that should matter done let things get you down listern to the 2 songs i put on here 2 posts up they cheer me up stay strong,0.0,0.0,0.734153,0.0,0.0,0.0,0.0
70,70,lost!,"i don't think we will be together for xmas my partner looks at me and my kids emptily,may be best if we leave so that he doesn't feel obliged to stay together for xmas it just going to make him hate us rather than just not love us anymore,",0.0,0.0,0.0,0.0,0.786514,0.0,0.691505
71,71,madmark,lost all i can say is be strong and stay focused you children need you focus on them and i hope it all sorts out ok for you,0.0,0.0,0.0,0.659538,0.0,0.0,0.0
72,72,madmark,hey lost are you ok,0.0,0.0,0.0,0.780184,0.0,0.0,0.0
73,73,madmark,my mind is a bit of a mess at the moment got both emotions on the go at the same time happy and sad also good thoughts and bad its like pick a mix i am tryig so hard to keep myself happy and keep all bad emotions abay but yes i am struggling and sleeping alot  i realy dont want to be down over christmas,0.0,0.0,0.0,0.833621,0.0,0.0,0.0
74,74,madmark,christmas tomorrow great ive now got a cold to add to the mixed up mind anyway just like to wish you all merry xmas and all the best for 2012 ,0.0,0.0,0.847799,0.0,0.0,0.0,0.0
75,75,madmark,had a nice time christmas day but ime glad its over time to get back to normal i have lots of view but no one coments my main talking has been with lost but she aint on here at the moment any body want to talk to me,0.0,0.0,0.648222,0.0,0.0,0.0,0.0
76,76,madmark,happy new year and all the best for 2012 to all that are reading my posts on the site,0.0,0.0,0.934479,0.0,0.0,0.862149,0.0
77,77,lost!,happy new yearhope your doing ok today not long for your appointment that got to be a good thing surely.,0.0,0.0,0.893344,0.0,0.0,0.618451,0.0
78,78,madmark,yes lost so good to here from you again yes friday morning is my appointment but all i can see in my mind is that it is going to be a waste of time and my energy but hey got to give it a go and see what the outcome will be but i focused so much on them helping me if they cant then i will realy feel on my own if that makes sence i cant take no medication as they make me worse and i totaly lose controle so it has been me and my depression for so long i am realy sick of fighting it which is why i asked for helpand i realy dont know how it will affect me if they cant find no awnsers or help me deal with my mind,0.0,0.0,0.0,0.8159,0.0,0.0,0.0
79,79,madmark,well todays the day i go for my first counsoling today not had none for 29 years be nice to see if they can realy help me and put a name to my illness,0.0,0.0,0.645512,0.0,0.583315,0.0,0.0
80,80,lost!,hey hey how are you today?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,madmark,yer feeling ok today a bit mixed up had counsoling yesterday for the 1st time in 23 years realy knocked me for a 6 messed my head up and mixed emotions and i was scared but done it and will do it every friday for next 5 weeks as i want awnsers to y i am like this and spent 90% of my life batteling and putting on a happy face,0.0,0.6835,0.0,0.0,0.0,0.0,0.0
82,82,madmark,well my mind still aint sortid itself out since i had counsoling i dont like digging in to my background and it scares me to open up to a stranger just feels out of the norm but got to keep my mind possitive as hopefully it will help me in the long run fingers crossed anybody want to coment please do this site seems very quite and its like i posting to nobody hello is there anybody there ,0.0,0.582658,0.0,0.0,0.537979,0.0,0.739732
83,83,madmark,well here goes friday again time for my next counsoling session will post a update later today with my feelings hope everyone is ok,0.0,0.0,0.605825,0.0,0.0,0.0,0.0
84,84,madmark,well another meeting done and finished realy does mess my mind about i thought they was ment to help just 4 hrs of meetings left then its over i realy cant see how i spent best part of 30 yrs trying to sort it and they think 6 hrs is going to teach me how to control it my feelings are its going to take a lot longer than 6 hrs but i will keep going and see what the end result is i have no choice i cant sort it or control it on my own no more if i dont get proper help i will end up ending my life cant keep living the false life i lived for 28 yrs and putting on a happy face when inside me i ripping myself apart mentaly still aint had no tests with the doctor to see if its a problem like bipolar all the doctors give me is antidepressents which dont work on me all they do is make me worse but hay at the moment life goes on running life on a day to day basis cant seem to think any further than that,0.0,0.0,0.0,0.71361,0.0,0.0,0.0
85,85,madmark,here i am again y aint nobody replying to me i am going off the rails once again starting to lose hope and control was just talking to my wife about my counsoling and she says i would love to meet her and tell her what it is like living with you then she says but it will kripple me and rip me apart to here it now i realy cant see the point of us being married those few words have cut my heart and head in 2 whats the point of us staying together if thats what i or should i say my illness is doing to her i realy dont blame her for flirting with another bloke what the fuck its done my head in now realy dont know what to do mixed up feelings and emotions i love my wife but i know our relationship is rocky mostly due to me and my problems i shut myself down maybe i should just set her free by pushing her away from me so she has to start a new life elsewere without me atleast then she can live the rest of her life mine is fucked up anyway so why drag her down with me done expect any replys but hey enjoy reading my pain hope you all haveing a better time than me,0.0,0.0,0.0,0.705359,0.0,0.0,0.0
86,86,wendolene26,"Hello madmarkI'm sorry you are having such a bad time at the moment. Try not to blame yourself too much, it is the depression talking and the depression which causes these thoughts and feelings. Perhaps instead of trying to talk to your wife and it ending up in an exchange of insults, why don't you write her a note explaining how you feel. She can then read this at her leisure and think about things.take care,Wendolene",0.0,0.0,0.0,0.836818,0.757764,0.0,0.800593
87,87,madmark,hi wendolene i know its my depression but that doesent end the fact that the way i am is affecting my complete family that just hurts me realy bad and my depression uses it against me to drag me down thank you for posting to me i realy does help me i will put these feelins and emotions to 1 side in my mind as i can not deal with them at the moment as i do have a lot going on in my mind at the moment cant seem to work through them the counsoling i am having is realy messing my emotions about so its maling things feel worse than they realy are hope you are ok and well once again thank you,0.0,0.0,0.0,0.92863,0.0,0.0,0.0
88,88,madmark,well here i am again calmed down abit now but this is a very mixed up world i am in at the moment well it is in my head and thats it it is in my head and it seems the more i try to put it right the worse i become i think possitive but within 1 day that possitive thought turns round to negitive and the list just grows with more and more negitive thoughts untill i go in to what i call overload and have to shut my mind down at the moment i have no emotions crying inside and a hard exterior shell so no body can see how i realy feel can only focus on next 2 days no further very forgetful and permantly down inside i am learning more and more about my feelings and thoughts and have learnt loads over the 23 years but still cant control them i just end up blank and sleep for 1 day and night once it gets to much like recharging my batterys ready for the next battle with my mind this is a very crual illness to have and i realy dont know how i have managed to survive for so long with it and just find the power and strenth to keep batteling it day after day minute by minute and one of the worse things is you just cant seem to explain it to no one and if you do manage to explain parts of it to people they cant understand it as like i say to people only people who suffer will understand each other because we are in the same or very simular worlds but hey here i go annother day to battle through,0.0,0.0,0.0,0.674713,0.0,0.0,0.0
89,89,madmark,i feel i need medical tests to see if there is a problem with my brain i think i suffer from more than depression but all my doctor does is try to keep giving me anti depressant pills and they dont work on me i am going to ask my counsoler friday if she has the power to request my doctor to refer me for tests i have suffered most of my life in control then out of control and i got to breaking point at the end of last year i need awnsers and i need them soon is there anybody there would love to here you views and coments,0.0,0.0,0.0,0.794871,0.0,0.0,0.0
90,90,madmark,thank you for your reply apotheosis makes intresting reading and i will bear this in mind like i say i suffered with this illness for the best part of 28 years and getting worse i do feel it isent just depression but something else i am a strong minded person but this is realy beating me down as it has been such a long lonly fight but i am still here living my life the best i can so i am still winning i have taken the 1st step and getting counsoling now cant wait for there outcome of what they think in 4 weeks time i am learning to drop my barrier and open up to people and try to talk as much as i can about my feelings i have been so low for last 6 weeks none stop with no feeling or emotion but managed to let out 3 tear last night which i have leant over the years is a good sign it meens i am slowly winning and starting to release some of the feelings in my mind this meens my emotions are slowly comeing back to me and yes to me that is 1 more step up my ladder to feeling better sems funny that if i can cry i feel it as a recovery doesent it hope you are well and ok once again thank you so much for taking the time to post to me,0.0,0.0,0.0,0.649819,0.0,0.0,0.0
91,91,madmark,its been a while i feel i am heading for another big downer and i am struggling to keep control my emotions and thoughts are all over the place and i have bad thoughts just going round and round in my mind screwing me up why is it always the ones i love that mess my head about i have became so insecure in my marrage i feel i want to leave and devorce my wife i know she would be happyer and have a better life away from me and i am so messed up regarding this i feel as if i am punishing her for the way i feel dont think wrong of me i wouldent lay a finger on her or hit anyone but mental punishment is worse in my opinion and all i keep doing is pushing her away for her own benifit i am sick of draging her and my children down with me and i have spent last 6 months trying to change myself and stop it but it seems the harder i try the deeper i fall so maybe life on my own in my own messed up world is my only awnser but the next thing if i choose that path is i will see the hurt and tears from my wife and children and i realy dont think i can cope with that it will probely push me over the edge and end my life so i feel so traped in my world and cant find a way to sort it out so scared and mixed up and the fight i have with myself from the minute i wake is realy nackering me out cant find the energy to do anything else feel like the end of 28 now 29 years of fighting this illness is getting near time for me to stop all the hurt the only way i know how but still hanging in here for a little while longer looking for awnsers i cant seem to find i am having counsoling at the moment for another 3 weeks and i realy do want to see the report and results from that to close this chapter and hopefully have a few awnsers to what has fucked my whole life up from a young age my life has been one big figth with myself,0.0,0.0,0.0,0.578503,0.0,0.0,0.0
92,92,madmark,why is there so many people reading my posts but no one has nothing to say to me am i that bad ?,0.0,0.0,0.0,0.502679,0.0,0.0,0.0
93,93,madmark,hi becky ime still here thank you for you input to this page i gave up posting on here as i wasent getting no responce from nobody here i go with a update i am still batteling with myself but not as much still having counsoling its my 6th and last session this upcoming friday then they say i will need to sign up for more sessions i hope to gain a report of there findings i hope i do as it will be something in black and white to read and focus on its been going ok but every time i go it messes my mind up for a few days and i for some reason find it a scary place to go but hey ime doing it and sticking with it i realy do want to explore this illness i have suffered from for 80% of my life and i want to try to find out why when i have so much good in life why do i still feel like i want to end it all i hope you are ok becky and have gained control of your illness and more important keep control of yourself i gained control for best part of 15 years just the odd episode but totaly lost the plot november last yr and aint been right since realy did go off the rails and only 1 focus in my mind end my life came so close had it all planed out to gas myself in my car in a farm track even went there with the hose pipe set it all up started the car but before i did it i had images of my children crying due to there loss of there dad and i just couldent be so selfish so gained control and went and asked for help and here i am still getting the help at the moment i take it day by day but it is so hard to stay focused i cant take meds as they make me worse so i guess its down to me and my mind to keep myself on track,0.0,0.0,0.0,0.761235,0.0,0.0,0.0
94,94,madmark,yes becky nice to meet you aswell last time i had control it just seemed to be ok i had control dont know how but lost control again last year i am working on finding out what helps me but its different every time i get down sometimes piece and quite other times i sleep all night and day but sometimes just need to get out around people which is y i am so confused at the moment cant find the awnser i looking for but hey i got plenty of time and aslong as i keep looking i will get there i hope and i have started to open up to peolpe around me so they understand whats going on with me instead of hideing my feelings i still have to mask some of them though as they do get realy nasty and mixed up so i keep them to myself untill they clear from my mind its good like you say to have a diary i used this and i often read the posts back to myself and try to get a gasp of what is going on but doesent make sence to me lol my counsoler says i may need atleast 2 yrs of counsoling to train my brain but will know more this friday thank you for posting to me,0.0,0.0,0.0,0.525054,0.0,0.0,0.0
95,95,madmark,thank you becky hope you have a good week aswell im feeling a bit knum at the moment my mind is focused on a large job i have on the go so not feeling to bad at the moment but hey its funny how no matter how busy u make your mind these bad thoughts still find a way to get involved in your life i wish our brain was like a pc so we could just do a scan and delete the bad parts lol will post a update friday night after counsoling session thank you for your support,0.0,0.0,0.615885,0.0,0.0,0.0,0.0
96,96,madmark,well been for my 6 sessions and now been put on to open ended counsoling got to go again in 2 weeks and start paying for every session pmsl done all 6 meeting no review report and no real feedback realy cant see the point of carrying on with it what is it ment to do ? i can talk to anybody for free so why pay to talk to a stranger lol what a complete waste of time that was so it meens i still aint going to find any awnsers realy has pissed me off is there any awnsers or is it just we ment to suffer untill we deside we realy cant keep batteling our way through day to day and decide to give in and end it all,0.638566,0.0,0.0,0.0,0.0,0.0,0.0
97,97,madmark,this is what i say and what i think says it all http://www.youtube.com/watch?v=YVFku...&feature=share,0.0,0.0,0.0,0.0,0.620279,0.80026,0.0
98,98,madmark,http://www.youtube.com/watch?v=vHGqGmzzQaY ithink i am falling again i pushed so hard to stay focused on counsoling finding some awnsers to my long battle but it aint i now realise i am on my own with this illness and realy dont think i have the fight in me anymore the end is getting near my children are all grown up and having familys if there own moving in to there own homes with there children so there lives begin and it feels like mine has come to the sayins job done now i dont need to support them my focus seems to have gone and my hard fighting power i had is fadeing fast i realy now cant see no point to my life i am getting so scared of were i a heading and falling in to a deeper state of depression and i do keep trying to pull myself out but it seems the harder i try the deeper i fall ( why me why cant i just be normal),0.0,0.518831,0.0,0.649269,0.0,0.0,0.0
99,99,madmark,http://www.youtube.com/watch?v=jBz6n...eature=related,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,opendoorpsychiatry,"Hello MadMark,I am joining this thread very late, but I can see that you have been having a very difficult time. It sounds as if that medicines haven't really helped you so far, and the counselling is coming to an end and you are still feeling awful.I would suggest going back to your GP to explain how things just aren't getting any better. It is really important for them to know about the suicidal thoughts you have had so that they can ensure that you get the sort of help you need (by the way I don't mean being sectioned to hospital - that very rarely happens to people with depression these days). I wonder if you might benefit from having another go with a psychiatrist? They can help make the proper diagnosis and may be able to receommend treatmetns which your GP can't access.I hope things start to improve soon. Life always looks very bleak when one is depressed, but it doesn't have to be that way and most people find something which helps, though it can be a painfully slow business getting there.Best wishes,Andy",0.0,0.0,0.0,0.706393,0.778994,0.0,0.68097
101,101,madmark,hi creamcheese yes the counsoler did discuss the terms with me but i got so focused on the 6 week assessement finding maybe just a glimps of hope but no nothing i got to go back in a week this friday so will have a chat but think i will end any further support as it realy makes me worse and i realy cant see it helping me but yes i will discuss it firstand andy thank you for your post as far as the doctors i have been toying with the idear of going back to see him but it seems all i get is the same thing anti depressents i will see my counsoler again in just over a week and discuss what she thinks i realy need to do i feel as if i am being pulled in to a unfit state of mind its been going on for about 3 weeks now and on the outside i look happy and normal to my close family but inside just falling apart cant seem to talk to noone face to face about it its like my brain wont let me its a scary place to be and its going on a lot lot longer than normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,102,madmark,cbt whats that lol ? hope you ok and well thank you for getting back to me,0.0,0.0,0.0,0.0,0.0,0.0,0.936899
